City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
516,Alta Floresta,BR,78.8,few clouds,-9.88,-56.09,Floresta Amazonica Hotel
519,Karratha,AU,75.07,clear sky,-20.74,116.85,ibis Styles Karratha
522,Bow Island,CA,84.2,few clouds,49.87,-111.37,Pleasant View Lodge
525,Marica,BR,75.2,clear sky,-22.92,-42.82,Marica Hills
526,Lumby,CA,87.8,clear sky,50.25,-118.97,Twin Creeks Motel
529,Katherine,AU,87.8,scattered clouds,-14.47,132.27,Pine Tree Motel
530,Miri,MY,87.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
532,Magdalena,PH,88.0,overcast clouds,14.2,121.43,"Green Nature Resort & Leisure Park, Nagcarlan, Laguna"
534,Hamada,JP,86.0,few clouds,34.88,132.08,Shimane Hamada Washington Hotel Plaza
536,Lucknow,IN,78.8,mist,26.85,80.92,OYO Flagship 19334 Shanta Inn Charbagh
537,Nhulunbuy,AU,82.4,few clouds,-12.23,136.77,East Arnhem Real Estate
540,Mana,GF,77.79,clear sky,5.66,-53.78,LE SAMANA
546,Isangel,VU,78.8,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
549,Bam,IR,89.4,few clouds,29.11,58.36,Bam Tourist Hotel
562,Crotone,IT,78.08,scattered clouds,39.09,17.12,Helios Hotel
563,Kisaran,ID,83.91,overcast clouds,2.98,99.62,Kost Orange Pak Zul
565,Half Moon Bay,US,88.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
566,Honiara,SB,87.8,broken clouds,-9.43,159.95,Heritage Park Hotel
568,Wilmington,US,79.0,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
570,College,US,75.2,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
576,Champerico,GT,76.59,light rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
578,Malindi,KE,76.08,overcast clouds,-3.22,40.12,African House Resort
580,Arawa,PG,85.08,light rain,-6.21,155.54,Coastline Guest House
583,Pasighat,IN,86.45,clear sky,28.07,95.33,Siang Guest House
590,Mitsamiouli,KM,76.75,overcast clouds,-11.38,43.28,Foyer ADM
591,Port Hedland,AU,77.0,clear sky,-20.32,118.57,The Esplanade Hotel
596,Laramie,US,75.2,clear sky,41.31,-105.59,Ramada by Wyndham Laramie
597,Martapura,ID,84.2,few clouds,-3.42,114.85,Montana Hotel Syariah
599,Korla,CN,84.0,broken clouds,41.76,86.15,Gulisitan Hotel
600,Catuday,PH,83.46,clear sky,16.29,119.81,GResort
601,Ahuimanu,US,86.0,broken clouds,21.44,-157.84,Paradise Bay Resort
603,Codajas,BR,80.96,clear sky,-3.84,-62.06,Hotel Tamires
605,Castanos,MX,78.01,light rain,26.78,-101.42,Bomberos voluntarios castaños coahuila
607,Atambua,ID,85.75,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
608,Itarema,BR,77.74,broken clouds,-2.92,-39.92,Windvillage
610,Charters Towers,AU,85.57,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
615,Oussouye,SN,78.8,scattered clouds,12.48,-16.55,Auberge du Routard
619,Meulaboh,ID,84.2,overcast clouds,4.14,96.13,Kost Pria
622,Bharatpur,IN,80.6,broken clouds,27.22,77.48,OYO 22446 Sonar Haveli
623,Biak,ID,82.27,scattered clouds,-0.91,122.88,Kost Ariz
628,San Antonio,US,84.2,broken clouds,29.42,-98.49,Marriott Plaza San Antonio
630,Kazerun,IR,86.97,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
634,Todos Santos,MX,82.0,overcast clouds,23.45,-110.22,Hotel California Todos Santos
637,Balotra,IN,84.56,overcast clouds,25.83,72.23,Hotel City Square
639,Sanawad,IN,75.2,mist,22.18,76.07,Geeta shree
640,Pandan,PH,85.95,overcast clouds,14.05,124.17,Bonifacio Lodge
644,Yeppoon,AU,84.2,clear sky,-23.13,150.73,Villa Mar Colina
648,Maiduguri,NG,78.22,overcast clouds,11.85,13.16,College of Nursing & Midwifery Female's Hostel
652,Lloydminster,CA,77.0,broken clouds,53.28,-110.0,BCMInns - Lloydminster
653,Anloga,GH,77.0,scattered clouds,5.79,0.9,Dey Lodge
655,Ugoofaaru,MV,81.86,scattered clouds,5.67,73.0,Ungoofaaru Inn
663,Maba,CN,86.47,light rain,24.68,113.6,康泰旅店
665,Djibo,BF,80.94,overcast clouds,14.1,-1.63,Centre Des Ressources DPENA
671,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
672,Paredon,MX,81.97,light rain,16.03,-93.87,Hotel Principal Paredon
674,Dumas,US,82.0,clear sky,35.87,-101.97,Holiday Inn Express & Suites Dumas
677,Yarada,IN,82.4,light intensity drizzle,17.65,83.27,"D-26/2, Dolphin Hill,"
678,Curuca,BR,76.87,scattered clouds,-0.73,-47.85,Hotel Curuça
681,Mayo,US,75.2,light rain,38.89,-76.51,Resorts Resource Group International
683,Espanola,US,75.2,clear sky,35.99,-106.08,Santa Claran Hotel
685,Topolobampo,MX,86.0,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
