City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Punta Arenas,CL,2020-08-17 20:58:44,-53.15,-70.92,37.4,76,75,11.41
71,Dezhou,CN,2020-08-17 21:01:36,37.45,116.29,78.22,95,0,7.94
72,Georgetown,MY,2020-08-17 21:01:37,5.41,100.34,78.8,88,20,3.36
73,Sao Sepe,BR,2020-08-17 21:01:37,-30.16,-53.57,66.2,52,5,10.29
74,Avarua,CK,2020-08-17 21:00:20,-21.21,-159.78,73.4,64,5,9.17
75,Port Alfred,ZA,2020-08-17 21:01:37,-33.59,26.89,56.53,70,77,30.91
76,Coahuayana,MX,2020-08-17 21:01:38,18.73,-103.68,77.0,88,75,11.41
77,Andenes,NO,2020-08-17 21:01:38,69.31,16.12,50.0,87,75,17.22
78,Pangnirtung,CA,2020-08-17 21:01:38,66.15,-65.71,50.0,87,75,4.7
79,Tuktoyaktuk,CA,2020-08-17 21:01:38,69.45,-133.04,50.0,81,75,4.7
80,Saint-Philippe,RE,2020-08-17 21:01:39,-21.36,55.77,66.2,72,39,6.93
81,Bathurst,AU,2020-08-17 21:00:06,-33.42,149.58,41.0,90,3,1.99
82,Katherine,AU,2020-08-17 21:01:39,-14.47,132.27,71.6,60,0,1.12
83,Kaitangata,NZ,2020-08-17 20:56:43,-46.28,169.85,36.0,81,94,1.01
84,Sisimiut,GL,2020-08-17 21:01:39,66.94,-53.67,51.44,51,60,3.09
85,Souillac,MU,2020-08-17 21:01:40,-20.52,57.52,71.6,73,75,6.93
86,Saskylakh,RU,2020-08-17 20:58:30,71.92,114.08,52.38,86,93,8.68
87,Boende,CD,2020-08-17 21:01:40,-0.22,20.87,74.01,93,60,2.01
88,Mataura,NZ,2020-08-17 21:01:40,-46.19,168.86,35.01,97,98,4.0
89,Arraial Do Cabo,BR,2020-08-17 21:00:06,-22.97,-42.03,77.0,88,98,5.82
90,Urumqi,CN,2020-08-17 21:01:41,43.8,87.6,77.0,29,0,11.18
91,Atuona,PF,2020-08-17 21:01:41,-9.8,-139.03,78.4,74,2,15.86
92,Norman Wells,CA,2020-08-17 21:01:41,65.28,-126.83,57.2,58,75,12.75
93,Mehriz,IR,2020-08-17 21:01:42,31.59,54.43,87.8,23,40,16.11
94,San Nicolas,PH,2020-08-17 21:01:42,18.17,120.6,78.98,77,100,3.98
95,Billings,US,2020-08-17 21:01:42,45.78,-108.5,100.99,13,40,5.82
96,Morristown,US,2020-08-17 21:01:43,36.21,-83.29,84.99,39,1,8.05
97,Taltal,CL,2020-08-17 21:00:25,-25.4,-70.48,56.95,63,26,4.68
98,Oranjemund,NA,2020-08-17 21:01:43,-28.55,16.43,56.34,68,74,6.55
99,Corinto,GR,2020-08-17 21:01:43,37.94,22.96,78.01,52,0,1.32
100,Kodiak,US,2020-08-17 21:00:20,57.79,-152.41,60.8,72,1,6.93
101,Vagur,FO,2020-08-17 21:01:44,61.47,-6.81,52.11,90,0,15.35
102,Shetpe,KZ,2020-08-17 21:01:44,44.17,52.12,64.29,47,0,9.4
103,Bluff,NZ,2020-08-17 21:01:44,-46.6,168.33,35.01,97,100,4.0
104,Sandpoint,US,2020-08-17 20:57:23,48.28,-116.55,93.0,29,1,6.93
105,Pisco,PE,2020-08-17 21:01:45,-13.7,-76.22,64.4,72,1,11.41
106,Port Blair,IN,2020-08-17 20:58:58,11.67,92.75,81.32,79,83,10.92
107,Ostrovnoy,RU,2020-08-17 21:01:46,68.05,39.51,42.98,86,97,12.8
108,Adrar,MR,2020-08-17 20:58:34,20.5,-10.07,102.99,20,0,13.31
109,Ossora,RU,2020-08-17 21:01:46,59.24,163.07,60.04,54,0,9.17
110,Ketchikan,US,2020-08-17 21:01:46,55.34,-131.65,60.8,87,75,11.41
111,San Andres,CO,2020-08-17 21:01:46,12.58,-81.7,87.8,74,75,10.29
112,Melita,CA,2020-08-17 21:01:47,49.27,-101.0,82.99,44,56,6.53
113,Gat,IL,2020-08-17 21:01:47,31.61,34.76,81.0,45,0,1.99
114,Kampot,KH,2020-08-17 20:57:27,10.62,104.18,77.0,94,20,5.68
115,Stornoway,GB,2020-08-17 21:01:48,58.21,-6.39,60.8,87,81,6.93
116,Tommot,RU,2020-08-17 21:01:48,58.96,126.29,41.31,88,69,0.83
117,Luchegorsk,RU,2020-08-17 21:01:48,46.48,134.26,60.91,94,91,4.47
118,Nizhniy Tsasuchey,RU,2020-08-17 21:01:48,50.52,115.13,51.71,77,98,15.77
119,Talnakh,RU,2020-08-17 21:01:49,69.49,88.4,57.2,50,0,6.71
120,Panalingaan,PH,2020-08-17 21:01:49,8.78,117.42,78.22,82,100,3.15
121,Ancud,CL,2020-08-17 21:01:49,-41.87,-73.82,48.99,66,75,11.41
122,Boca Do Acre,BR,2020-08-17 21:01:49,-8.75,-67.4,98.1,30,73,1.03
123,Iqaluit,CA,2020-08-17 21:01:49,63.75,-68.51,50.0,81,75,11.41
124,Palauig,PH,2020-08-17 21:01:50,15.44,119.9,81.32,74,100,6.6
125,Kapaa,US,2020-08-17 21:01:50,22.08,-159.32,84.99,66,20,13.87
126,Mahebourg,MU,2020-08-17 20:59:12,-20.41,57.7,71.6,73,75,6.93
127,Severo-Kurilsk,RU,2020-08-17 20:58:58,50.68,156.12,51.87,89,91,1.32
128,Vardo,NO,2020-08-17 21:00:41,70.37,31.11,42.8,87,40,18.34
129,Petropavlovsk-Kamchatskiy,RU,2020-08-17 21:01:51,53.05,158.65,55.4,100,90,2.24
130,Gushikawa,JP,2020-08-17 20:58:52,26.35,127.87,82.4,88,20,4.7
131,Sioux Lookout,CA,2020-08-17 20:59:49,50.1,-91.92,68.0,49,40,10.29
132,Guerrero Negro,MX,2020-08-17 21:01:51,27.98,-114.06,88.07,40,0,12.8
133,Atkinson,US,2020-08-17 21:01:51,42.84,-71.15,80.01,57,20,9.17
134,Yatou,CN,2020-08-17 21:01:52,37.15,122.38,76.59,97,77,9.82
135,Hsinchu,TW,2020-08-17 21:01:52,24.8,120.97,81.0,84,11,1.01
136,Taoudenni,ML,2020-08-17 21:01:52,22.68,-3.98,106.65,7,0,10.45
137,Saldanha,ZA,2020-08-17 21:01:52,-33.01,17.94,50.0,76,23,13.87
138,Mahon,ES,2020-08-17 20:58:04,39.89,4.27,77.0,83,52,5.82
139,Cedar City,US,2020-08-17 21:01:53,37.68,-113.06,96.8,6,1,3.36
140,Xining,CN,2020-08-17 21:01:53,36.62,101.77,46.94,73,0,2.86
141,Cayenne,GF,2020-08-17 20:57:30,4.93,-52.33,86.0,66,80,11.41
142,Baghdad,IQ,2020-08-17 21:00:04,33.34,44.4,86.0,22,0,4.7
143,Anadyr,RU,2020-08-17 20:58:49,64.75,177.48,51.8,76,20,11.18
144,Bengkulu,ID,2020-08-17 21:01:09,-3.8,102.27,75.09,90,14,5.19
145,Cidreira,BR,2020-08-17 20:58:38,-30.18,-50.21,57.81,80,0,7.92
146,Assiniboia,CA,2020-08-17 21:01:54,49.63,-105.98,95.09,12,78,7.11
147,Roma,US,2020-08-17 20:58:05,43.21,-75.46,80.6,47,40,16.11
148,Agadez,NE,2020-08-17 21:01:55,19.75,10.25,97.09,16,59,5.55
149,West Fargo,US,2020-08-17 21:01:55,46.88,-96.9,78.01,50,1,5.82
150,Cangzhou,CN,2020-08-17 21:01:55,38.32,116.87,78.12,94,0,7.52
151,Faanui,PF,2020-08-17 20:58:59,-16.48,-151.75,78.08,73,24,11.41
152,Tjome,NO,2020-08-17 21:01:56,59.11,10.39,68.0,68,0,1.61
153,Abnub,EG,2020-08-17 21:01:56,27.27,31.15,84.2,37,0,8.05
154,Mangai,CD,2020-08-17 21:01:56,-4.05,19.53,81.09,58,60,1.92
155,Meulaboh,ID,2020-08-17 21:01:34,4.14,96.13,76.69,87,37,5.75
156,Klaksvik,FO,2020-08-17 21:01:56,62.23,-6.59,50.0,100,0,3.36
157,Tsaratanana,MG,2020-08-17 21:01:57,-16.78,47.65,64.13,67,1,11.41
158,Abha,SA,2020-08-17 20:59:10,18.22,42.51,73.4,56,95,3.51
159,Tsiroanomandidy,MG,2020-08-17 21:01:57,-18.77,46.03,63.97,63,0,5.12
160,Makinsk,KZ,2020-08-17 21:01:57,52.63,70.42,53.44,73,71,8.97
161,Abu Kamal,SY,2020-08-17 21:01:58,34.45,40.92,83.03,24,0,10.2
162,Lebu,CL,2020-08-17 21:00:54,-37.62,-73.65,50.97,74,33,6.6
163,Salalah,OM,2020-08-17 21:01:58,17.02,54.09,77.0,100,90,1.12
164,Baykit,RU,2020-08-17 21:01:58,61.67,96.37,54.1,64,100,2.77
165,Labytnangi,RU,2020-08-17 21:01:59,66.66,66.42,49.32,88,100,7.27
166,Henties Bay,NA,2020-08-17 21:00:44,-22.12,14.28,55.0,83,0,3.0
167,Zyryanka,RU,2020-08-17 21:01:59,65.75,150.85,48.72,51,0,4.21
168,Kavieng,PG,2020-08-17 21:01:59,-2.57,150.8,81.84,76,2,7.96
169,Hovd,MN,2020-08-17 21:02:00,48.01,91.64,58.48,65,29,0.76
170,Sao Domingos,BR,2020-08-17 21:02:00,-13.4,-46.32,84.15,24,0,4.81
171,La Ronge,CA,2020-08-17 21:02:00,55.1,-105.28,75.2,60,5,9.17
172,Malinyi,TZ,2020-08-17 21:02:00,-8.93,36.13,72.18,58,55,0.36
173,Padang,ID,2020-08-17 21:00:26,-0.95,100.35,76.35,74,42,4.52
174,Dok Kham Tai,TH,2020-08-17 21:02:01,19.16,99.99,71.22,95,100,1.9
175,Bunia,CD,2020-08-17 21:02:01,1.57,30.25,63.18,92,6,1.25
176,Clyde River,CA,2020-08-17 21:02:01,70.47,-68.59,53.6,81,75,18.34
177,Rio Grande,BR,2020-08-17 21:01:49,-32.03,-52.1,68.0,42,0,11.41
178,Inirida,CO,2020-08-17 21:02:02,3.87,-67.92,81.34,90,51,4.03
179,Duldurga,RU,2020-08-17 21:02:02,50.68,113.59,48.65,88,59,5.86
180,Tiksi,RU,2020-08-17 21:02:02,71.69,128.87,46.51,88,100,4.7
181,Fairbanks,US,2020-08-17 20:59:41,64.84,-147.72,66.0,39,1,9.17
182,Nieuw Nickerie,SR,2020-08-17 21:02:03,5.95,-56.98,81.66,85,91,8.84
183,Cabo San Lucas,MX,2020-08-17 21:00:00,22.89,-109.91,91.4,55,5,13.87
184,Chokurdakh,RU,2020-08-17 21:01:13,70.63,147.92,39.52,86,100,13.24
185,Hithadhoo,MV,2020-08-17 21:02:03,-0.6,73.08,83.82,72,40,6.55
186,Aykhal,RU,2020-08-17 21:02:04,66.0,111.5,51.8,43,68,4.47
187,Gigmoto,PH,2020-08-17 21:02:04,13.78,124.39,79.34,82,100,1.5
188,Iskateley,RU,2020-08-17 21:02:04,67.68,53.15,47.3,94,100,5.23
189,Cay,TR,2020-08-17 21:02:04,38.59,31.03,67.78,33,0,5.41
190,Vao,NC,2020-08-17 21:02:05,-22.67,167.48,70.21,83,71,18.88
191,Morant Bay,JM,2020-08-17 21:02:05,17.88,-76.41,88.0,66,75,9.17
192,Labuhan,ID,2020-08-17 21:02:05,-6.88,112.21,75.97,83,9,7.52
193,Ixtapa,MX,2020-08-17 21:02:05,20.7,-105.2,90.0,70,90,11.41
194,Carnot,CF,2020-08-17 21:02:06,4.94,15.87,71.08,94,100,1.48
195,Nanga Eboko,CM,2020-08-17 21:02:06,4.68,12.37,69.55,97,95,4.88
196,Adre,TD,2020-08-17 21:02:06,13.47,22.2,76.05,78,88,3.33
197,Leningradskiy,RU,2020-08-17 20:59:16,69.38,178.42,41.5,78,100,15.73
198,Los Algarrobos,PA,2020-08-17 21:02:07,8.5,-82.43,86.0,74,40,6.93
199,Etawah,IN,2020-08-17 21:02:07,26.78,79.02,85.73,72,0,6.29
200,Nelson Bay,AU,2020-08-17 21:02:07,-32.72,152.15,53.6,66,90,6.93
201,Palmer,US,2020-08-17 21:02:08,42.16,-72.33,82.4,45,75,4.23
202,Vicuna,CL,2020-08-17 21:02:08,-30.03,-70.71,51.8,81,90,9.17
203,Cabedelo,BR,2020-08-17 21:02:08,-6.98,-34.83,77.0,78,20,11.41
204,Verkhnevilyuysk,RU,2020-08-17 21:02:08,63.45,120.32,42.6,74,0,2.59
205,Ewa Beach,US,2020-08-17 21:02:08,21.32,-158.01,84.2,54,20,4.7
206,Kruisfontein,ZA,2020-08-17 21:01:04,-34.0,24.73,55.0,61,100,11.01
207,Hobyo,SO,2020-08-17 21:00:15,5.35,48.53,75.81,77,44,27.22
208,Celestun,MX,2020-08-17 21:00:41,20.87,-90.4,86.49,67,93,14.43
209,Knysna,ZA,2020-08-17 21:02:09,-34.04,23.05,46.4,93,100,23.04
210,Bestobe,KZ,2020-08-17 21:02:09,52.5,73.1,64.04,50,100,6.89
211,Cabra,ES,2020-08-17 21:02:09,37.47,-4.44,79.0,41,0,0.89
212,Soyo,AO,2020-08-17 21:01:09,-6.13,12.37,72.46,89,78,10.96
213,Pizhanka,RU,2020-08-17 21:02:10,57.46,48.54,44.62,88,0,9.42
214,Deputatskiy,RU,2020-08-17 21:02:10,69.3,139.9,37.96,80,72,3.87
215,Zhuanghe,CN,2020-08-17 21:02:10,39.7,122.99,79.0,92,63,1.01
216,Bereda,ES,2020-08-17 21:02:11,43.27,-7.54,64.99,100,100,7.0
217,Saint George,US,2020-08-17 21:02:11,37.1,-113.58,111.0,6,1,3.36
218,Raudeberg,NO,2020-08-17 21:02:11,61.99,5.14,62.01,92,0,4.38
219,Caravelas,BR,2020-08-17 21:02:11,-17.71,-39.25,73.54,79,3,6.33
