City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Vardo,NO,70.37,31.11,51.66,87,100,9.35,overcast clouds
83,Cherskiy,RU,68.75,161.3,44.49,87,100,7.02,overcast clouds
84,Hermanus,ZA,-34.42,19.23,46.0,74,73,5.82,broken clouds
85,Saskylakh,RU,71.92,114.08,45.05,68,98,9.4,overcast clouds
86,Trincomalee,LK,8.57,81.23,82.89,72,99,14.27,overcast clouds
87,Chuy,UY,-33.7,-53.46,50.83,91,0,5.93,clear sky
88,Shache,CN,38.42,77.24,82.29,20,100,5.28,overcast clouds
89,Landerneau,FR,48.45,-4.25,66.2,100,100,14.99,light rain
90,Quatre Cocos,MU,-20.21,57.76,71.6,68,75,13.87,broken clouds
91,Strezhevoy,RU,60.73,77.59,59.0,93,40,4.47,scattered clouds
92,Aswan,EG,24.09,32.91,84.78,25,0,8.59,clear sky
93,Rafaela,AR,-31.25,-61.49,54.0,27,0,5.01,clear sky
94,Matamoros,MX,25.53,-103.25,87.8,29,75,4.7,broken clouds
95,Hithadhoo,MV,-0.6,73.08,84.33,72,45,9.51,scattered clouds
96,Nome,US,64.5,-165.41,70.0,67,1,8.05,clear sky
97,Prizren,XK,42.21,20.74,62.6,88,75,2.24,broken clouds
98,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
99,Smithers,CA,54.78,-127.17,66.2,37,40,5.82,scattered clouds
100,Kupang,ID,-10.17,123.58,87.8,55,20,5.82,few clouds
101,Hofn,IS,64.25,-15.21,48.15,83,100,18.12,overcast clouds
102,Trairi,BR,-3.28,-39.27,77.38,79,46,13.4,scattered clouds
103,Sorland,NO,67.67,12.69,52.77,81,100,10.36,overcast clouds
104,Bom Jesus,BR,-9.07,-44.36,72.37,56,40,4.72,scattered clouds
105,Las Tunas,CU,20.96,-76.95,77.0,88,75,3.36,broken clouds
106,Acajutla,SV,13.59,-89.83,69.01,100,100,6.76,light rain
107,Mar Del Plata,AR,-38.0,-57.56,42.01,72,35,4.7,scattered clouds
108,Nouakchott,MR,18.09,-15.98,80.6,78,40,13.87,scattered clouds
109,Labuan,MY,5.28,115.24,86.0,74,20,4.7,few clouds
110,Bereda,ES,43.27,-7.54,64.99,77,9,18.99,clear sky
111,Mandalgovi,MN,45.76,106.27,60.53,64,1,16.8,clear sky
112,Clyde River,CA,70.47,-68.59,46.4,93,90,3.36,overcast clouds
113,Tuatapere,NZ,-46.13,167.68,59.0,78,100,4.0,light rain
114,Oranjemund,NA,-28.55,16.43,51.55,63,75,13.11,broken clouds
115,Kapaa,US,22.08,-159.32,82.0,78,90,10.29,light rain
116,Vao,NC,-22.67,167.48,68.95,59,0,6.93,clear sky
117,Fortuna,US,40.6,-124.16,66.99,74,3,1.99,clear sky
118,Hirara,JP,24.8,125.28,89.6,79,40,11.41,scattered clouds
119,Leander,US,30.58,-97.85,90.0,37,1,5.82,clear sky
120,Erdenet,MN,49.03,104.08,60.04,57,72,5.97,broken clouds
121,Barrow,US,71.29,-156.79,53.6,76,1,6.93,clear sky
122,Tiksi,RU,71.69,128.87,40.05,85,99,12.59,overcast clouds
123,Tougue,GN,11.47,-11.6,68.41,97,100,2.1,overcast clouds
124,Kargat,RU,55.2,80.28,60.96,72,94,10.18,overcast clouds
